10 2
1, Owner 1, 722.6202, 751.0154, 785.9744, 835.87335
2, Owner 2, 835.87335, 920.06195, 980.062, 1016.2242
3, Owner 3, 1016.2242, 1053.8688, 1064.8505, 1154.3298
4, Owner 4, 1154.3298, 1242.0354, 1280.0913, 1362.7983
5, Owner 5, 1362.7983, 1445.0599, 1541.3394, 1626.3617
6, Owner 6, 1626.3617, 1707.8574, 1777.2747, 1779.6603
7, Owner 7, 1779.6603, 1863.4598, 1924.3706, 1966.9963
8, Owner 8, 1966.9963, 2056.1248, 2083.6013, 2142.7246
9, Owner 9, 2142.7246, 2218.6997, 2285.246, 2293.667
10, Owner 10, 2293.667, 2332.1885, 2405.643, 2442.5715
